"address","borough","date","status","resolution","zip_code","latitude","longitude","closed_date"
"1719 NOSTRAND AVENUE","BROOKLYN",2021-12-29,"Open","Site to be cleaned.","11226","40.643948","-73.948824",NA
"1716 NOSTRAND AVENUE","BROOKLYN",2021-12-29,"Open","Site to be cleaned.","11226","40.643929","-73.948846",NA
"7 EAST  182 STREET","BRONX",2021-12-28,"Open","Site to be cleaned.","10453","40.857260","-73.904293",NA
"309 EAST BURNSIDE AVENUE","BRONX",2021-12-28,"Open","Graffiti Reported","10457","40.850588","-73.901133",NA
"2056 JEROME AVENUE","BRONX",2021-12-28,"Open","Graffiti Reported","10453","40.854191","-73.906984",NA
"4806 8 AVENUE","BROOKLYN",2021-12-28,"Open","Graffiti Reported","11220","40.642131","-74.002663",NA
"53 EAST  184 STREET","BRONX",2021-12-28,"Open","Site to be cleaned.","10468","40.860167","-73.901318",NA
"1794 JEROME AVENUE","BRONX",2021-12-28,"Open","Site to be cleaned.","10453","40.848390","-73.911846",NA
"1941 JEROME AVENUE","BRONX",2021-12-28,"Open","Site to be cleaned.","10453","40.851109","-73.909815",NA
"2080 JEROME AVENUE","BRONX",2021-12-28,"Open","Site to be cleaned.","10453","40.854529","-73.906680",NA
"14E MOUNT HOPE PLACE","BRONX",2021-12-28,"Open","Graffiti Reported","10453","40.849298","-73.910569",NA
"51-23 QUEENS BOULEVARD","QUEENS",2021-12-28,"Open","Site to be cleaned.","11377","40.742574","-73.913549",NA
"2350 JEROME AVENUE","BRONX",2021-12-28,"Open","Site to be cleaned.","10468","40.859897","-73.902952",NA
"1971 JEROME AVENUE","BRONX",2021-12-28,"Open","Site to be cleaned.","10453","40.852025","-73.909022",NA
"1959 JEROME AVENUE","BRONX",2021-12-28,"Open","Site to be cleaned.","10453","40.851451","-73.909525",NA
"66-04 QUEENS BOULEVARD","QUEENS",2021-12-28,"Open","Site to be cleaned.","11377","40.740742","-73.898463",NA
"777 44 STREET","BROOKLYN",2021-12-28,"Open","Property Research Required","11220","40.644750","-74.000645",NA
"2 EAST  181 STREET","BRONX",2021-12-28,"Open","Site to be cleaned.","10453","40.855719","-73.905452",NA
"48-02 QUEENS BOULEVARD","QUEENS",2021-12-28,"Open","Graffiti Reported","11104","40.742900","-73.916453",NA
"1680 JEROME AVENUE","BRONX",2021-12-28,"Open","Site to be cleaned.","10453","40.846319","-73.913327",NA
"3414 BROADWAY","MANHATTAN",2021-12-28,"Open","Site to be cleaned.","10031","40.822466","-73.953333",NA
"1683 JEROME AVENUE","BRONX",2021-12-28,"Open","Graffiti Reported","10453","40.846316","-73.913352",NA
"2380 JEROME AVENUE","BRONX",2021-12-28,"Open","Graffiti Reported","10468","40.861060","-73.902263",NA
"64-24 QUEENS BOULEVARD","QUEENS",2021-12-28,"Open","Graffiti Reported","11377","40.741046","-73.900945",NA
"2165 JEROME AVENUE","BRONX",2021-12-28,"Open","Graffiti Reported","10453","40.856081","-73.905336",NA
"48-75 36 STREET","QUEENS",2021-12-28,"Open","Graffiti Reported","11101","40.738580","-73.930045",NA
"1946 JEROME AVENUE","BRONX",2021-12-28,"Open","Site to be cleaned.","10453","40.851235","-73.909681",NA
"2431 JEROME AVENUE","BRONX",2021-12-28,"Open","Graffiti Reported","10468","40.862086","-73.901615",NA
"5816 8 AVENUE","BROOKLYN",2021-12-28,"Open","Site to be cleaned.","11220","40.636493","-74.008539",NA
"2034 JEROME AVENUE","BRONX",2021-12-28,"Open","Graffiti Reported","10453","40.853396","-73.907708",NA
"2076 JEROME AVENUE","BRONX",2021-12-28,"Open","Site to be cleaned.","10453","40.854474","-73.906730",NA
"1714 JEROME AVENUE","BRONX",2021-12-28,"Open","Graffiti Reported","10453","40.846892","-73.912914",NA
"38 STEUBEN STREET","BROOKLYN",2021-12-28,"Open","Site to be cleaned.","11205","40.696963","-73.963746",NA
"392 EAST  159 STREET","BRONX",2021-12-28,"Open","Site to be cleaned.","10451","40.823001","-73.914727",NA
"56-01 QUEENS BOULEVARD","QUEENS",2021-12-28,"Open","Graffiti Reported","11377","40.742057","-73.909103",NA
"401 WEST  149 STREET","MANHATTAN",2021-12-28,"Open","Site to be cleaned.","10031","40.826735","-73.943249",NA
"2376 JEROME AVENUE","BRONX",2021-12-28,"Open","Graffiti Reported","10468","40.860989","-73.902307",NA
"7517 3 AVENUE","BROOKLYN",2021-12-28,"Open","Graffiti Reported","11209","40.631275","-74.027856",NA
"2100 JEROME AVENUE","BRONX",2021-12-28,"Open","Graffiti Reported","10453","40.854811","-73.906430",NA
"1184 EAST GUN HILL ROAD","BRONX",2021-12-28,"Open","Site to be cleaned.","10469","40.873087","-73.852987",NA
"36 WEST  183 STREET","BRONX",2021-12-28,"Open","Site to be cleaned.","10453","40.858826","-73.905274",NA
"2170 JEROME AVENUE","BRONX",2021-12-28,"Open","Site to be cleaned.","10453","40.856232","-73.905191",NA
"2242 JEROME AVENUE","BRONX",2021-12-28,"Open","Graffiti Reported","10453","40.857648","-73.904318",NA
"30-48 37 STREET","QUEENS",2021-12-28,"Open","Graffiti Reported","11103","40.763382","-73.917630",NA
"49-47 31 STREET","QUEENS",2021-12-28,"Open","Site to be cleaned.","11101","40.739172","-73.936565",NA
"1900 JEROME AVENUE","BRONX",2021-12-28,"Open","Site to be cleaned.","10453","40.850420","-73.910369",NA
"45-02 45 STREET","QUEENS",2021-12-28,"Open","Graffiti Reported","11104","40.742875","-73.919719",NA
